"filename", "language", "TypeScript", "HTML", "CSS", "comment", "blank", "total"
"c:\Users\aashi\codes\angular-app\src\app\app-routing.module.ts", "TypeScript", 15, 0, 0, 0, 2, 17
"c:\Users\aashi\codes\angular-app\src\app\app.component.css", "CSS", 0, 0, 57, 0, 8, 65
"c:\Users\aashi\codes\angular-app\src\app\app.component.html", "HTML", 0, 21, 0, 0, 2, 23
"c:\Users\aashi\codes\angular-app\src\app\app.component.spec.ts", "TypeScript", 31, 0, 0, 0, 5, 36
"c:\Users\aashi\codes\angular-app\src\app\app.component.ts", "TypeScript", 10, 0, 0, 0, 1, 11
"c:\Users\aashi\codes\angular-app\src\app\app.module.ts", "TypeScript", 32, 0, 0, 0, 2, 34
"c:\Users\aashi\codes\angular-app\src\app\button\button.component.spec.ts", "TypeScript", 18, 0, 0, 0, 6, 24
"c:\Users\aashi\codes\angular-app\src\app\button\button.component.ts", "TypeScript", 34, 0, 0, 0, 3, 37
"c:\Users\aashi\codes\angular-app\src\app\create-issue\create-issue.component.css", "CSS", 0, 0, 92, 3, 8, 103
"c:\Users\aashi\codes\angular-app\src\app\create-issue\create-issue.component.html", "HTML", 0, 74, 0, 0, 1, 75
"c:\Users\aashi\codes\angular-app\src\app\create-issue\create-issue.component.ts", "TypeScript", 11, 0, 0, 0, 5, 16
"c:\Users\aashi\codes\angular-app\src\app\create-project\create-project.component.css", "CSS", 0, 0, 78, 2, 7, 87
"c:\Users\aashi\codes\angular-app\src\app\create-project\create-project.component.html", "HTML", 0, 36, 0, 0, 1, 37
"c:\Users\aashi\codes\angular-app\src\app\create-project\create-project.component.ts", "TypeScript", 11, 0, 0, 0, 6, 17
"c:\Users\aashi\codes\angular-app\src\app\kanban-board\kanban-board.component.css", "CSS", 0, 0, 21, 1, 3, 25
"c:\Users\aashi\codes\angular-app\src\app\kanban-board\kanban-board.component.html", "HTML", 0, 30, 0, 0, 1, 31
"c:\Users\aashi\codes\angular-app\src\app\kanban-board\kanban-board.component.ts", "TypeScript", 11, 0, 0, 0, 5, 16
"c:\Users\aashi\codes\angular-app\src\app\kanban-card\kanban-card.component.css", "CSS", 0, 0, 89, 5, 12, 106
"c:\Users\aashi\codes\angular-app\src\app\kanban-card\kanban-card.component.html", "HTML", 0, 24, 0, 0, 1, 25
"c:\Users\aashi\codes\angular-app\src\app\kanban-card\kanban-card.component.ts", "TypeScript", 11, 0, 0, 0, 5, 16
"c:\Users\aashi\codes\angular-app\src\app\navigation\navigation.component.ts", "TypeScript", 49, 0, 0, 1, 5, 55
"c:\Users\aashi\codes\angular-app\src\app\product-board\product-board.component.css", "CSS", 0, 0, 126, 4, 7, 137
"c:\Users\aashi\codes\angular-app\src\app\product-board\product-board.component.html", "HTML", 0, 62, 0, 0, 6, 68
"c:\Users\aashi\codes\angular-app\src\app\product-board\product-board.component.ts", "TypeScript", 12, 0, 0, 0, 3, 15
"Total", "-", 245, 247, 463, 16, 105, 1076